epoch,train_loss,train_acc,test_r1,test_r5,test_r10,test_mAP,test_mINP
0,8.495558911699039,0.0020240401331147865,5.966981127858162,13.506288826465607,18.89937072992325,10.836642316057048,10.836642316057048
1,7.52728078016337,0.007847812049868376,9.779874235391617,20.534591376781464,27.71226465702057,16.064725590844777,16.064725590844777
2,6.778713621894489,0.019892713455520787,14.75628912448883,29.95283007621765,39.937105774879456,23.336222174151438,23.336222174151438
3,6.076432283557143,0.04159837083395421,19.599056243896484,39.04874324798584,50.29088258743286,29.68478371426273,29.68478371426273
4,5.452151561916683,0.07400784781204987,21.092768013477325,40.18867909908295,51.06918215751648,30.968778697402072,30.968778697402072
5,4.904821439405872,0.11302339442706005,24.669811129570007,45.66037654876709,57.311320304870605,35.302537234778264,35.302537234778264
6,4.422639780911877,0.15858292355833706,28.985849022865295,53.38050127029419,66.49370789527893,40.95536011460728,40.95536011460728
7,4.002121812829624,0.20948194506531564,31.70597553253174,57.389938831329346,69.67767477035522,43.99784926822628,43.99784926822628
8,3.628504496990157,0.2591019718869518,32.79874324798584,58.569180965423584,71.32861614227295,44.97365955137009,44.97365955137009
9,3.349111490134054,0.299272338946009,34.433960914611816,61.3757848739624,73.41980934143066,46.95948056896681,46.95948056896681
10,3.050395323812994,0.3481224854716138,36.56446635723114,64.8427665233612,76.69811248779297,49.56961658576691,49.56961658576691
11,2.8418702724668807,0.3864054040629812,40.1415079832077,68.45125555992126,79.81918454170227,53.09778222127633,53.09778222127633
12,2.65472553391301,0.4250111756817166,40.856918692588806,69.19025182723999,80.24371266365051,53.74013687162267,53.74013687162267
13,2.4685078456162257,0.4583395420453981,41.72169864177704,70.80974578857422,82.03616142272949,54.973619588325064,54.973619588325064
14,2.3313322896331656,0.48838970843888146,42.42924451828003,71.5330183506012,82.60220289230347,55.5031097661367,55.5031097661367
15,2.205996069640272,0.5172105498435404,44.11163628101349,73.22326898574829,83.6871087551117,57.137078979016295,57.137078979016295
16,2.0853484728259004,0.5444792132320071,46.11635208129883,75.0,84.97641682624817,59.07098702364176,59.07098702364176
17,2.002429350414948,0.5659737744002384,46.21855318546295,75.62106847763062,85.71540713310242,59.2599470968684,59.2599470968684
18,1.9109132537151161,0.5870213082998063,46.17924392223358,75.88836550712585,85.4716956615448,59.51909625976795,59.51909625976795
19,1.8074436243757646,0.6111856156558884,47.4371075630188,76.81604027748108,86.33647561073303,60.503852973920814,60.503852973920814
20,1.7419904416088126,0.6278622162618587,47.775158286094666,77.13836431503296,86.65880560874939,60.80767823705666,60.80767823705666
21,1.652064277513167,0.6487110713753539,50.432389974594116,79.61478233337402,88.76572251319885,63.40277162350062,63.40277162350062
22,1.588002718632406,0.668703124223911,49.92924630641937,78.94654273986816,87.94811367988586,62.881227451916885,62.881227451916885
23,1.5276207416333392,0.6842869915064819,51.839619874954224,80.58962225914001,89.22955989837646,64.37290137399998,64.37290137399998
