epoch,train_loss,train_acc,test_r1,test_r5,test_r10,test_mAP,test_mINP
0,7.949783753834804,0.008518352952863458,20.51100581884384,42.6257848739624,54.95283007621765,31.765490615154217,31.765490615154217
1,5.999905813991452,0.05160681468236229,33.514150977134705,61.94182634353638,74.19025301933289,46.83316576057966,46.83316576057966
2,4.686130731109238,0.13803208662395072,42.272013425827026,72.31917977333069,83.20754766464233,55.762956612848626,55.762956612848626
3,3.720442331785216,0.23929618040033776,50.60534477233887,79.30817604064941,88.70282769203186,63.308610650289765,63.308610650289765
4,3.088554699315652,0.33178115531714103,54.44968342781067,83.05031657218933,90.73113203048706,66.88123470830133,66.88123470830133
5,2.6633930375286714,0.4076267819003626,56.21069073677063,84.30031538009644,91.63522124290466,68.37898696198947,68.37898696198947
6,2.3217792585295998,0.47126608056424774,58.341193199157715,85.14150977134705,91.92609786987305,70.13353805087783,70.13353805087783
7,2.125424743723018,0.5154224407688869,60.93553304672241,86.43081784248352,92.54717230796814,72.08999679605336,72.08999679605336
8,1.9232459873448053,0.5572070729647842,62.51572370529175,87.17767000198364,92.83018708229065,73.26521521082437,73.26521521082437
9,1.798135950533009,0.5883996423781851,63.238996267318726,87.98742294311523,93.7814474105835,74.13635319774438,74.13635319774438
10,1.6778194215112605,0.6156186360701336,64.42610025405884,88.5927677154541,94.19811367988586,74.96188454669556,74.96188454669556
11,1.583084413110366,0.6400685441811951,64.09591436386108,88.4355366230011,94.06446814537048,74.77784444519635,74.77784444519635
12,1.49313267654677,0.6585208364376893,67.19339489936829,90.2515709400177,95.33805251121521,77.29777208938282,77.29777208938282
13,1.456863904191172,0.6712114438980777,65.31446576118469,89.1588032245636,94.14308071136475,75.71948440027487,75.71948440027487
14,1.365287504756065,0.694965976257885,67.15408563613892,90.19653797149658,94.92138624191284,77.17801052843622,77.17801052843622
15,1.320770418875466,0.7053221079819202,68.33333373069763,90.79402685165405,95.33019065856934,78.1007318840728,78.1007318840728
16,1.25901988245055,0.7206203745095118,68.92295479774475,90.85691571235657,95.5581784248352,78.49997207811485,78.49997207811485
17,1.2164322297998105,0.7359931455818804,68.9386785030365,91.54087901115417,95.88836431503296,78.75500020131973,78.75500020131973
18,1.1898551883696562,0.7460140068544181,68.85220408439636,91.41509532928467,95.68396210670471,78.55868347744075,78.55868347744075
19,1.1241551892315584,0.7580713256842001,70.86477875709534,91.71383380889893,95.84905505180359,79.90002541279004,79.90002541279004
20,1.0767718206034365,0.7727114687329261,71.04559540748596,92.10692048072815,96.0927665233612,80.26696082297781,80.26696082297781
21,1.0313306339971415,0.7865320617891025,70.9984302520752,91.91823601722717,96.27358317375183,80.2144372271244,80.2144372271244
22,0.9878998607055136,0.7981796056226097,72.4685549736023,92.86163449287415,96.51729464530945,81.34329489779711,81.34329489779711
23,0.9546243853418162,0.8089951820394378,72.09119200706482,92.77516007423401,96.36006355285645,81.03280952665763,81.03280952665763
24,0.9149874991562496,0.821958972830676,73.59277009963989,93.01886558532715,96.4701235294342,82.10052125246098,82.10052125246098
25,0.8834840995108549,0.8312844583519595,73.02672863006592,93.08962225914001,96.65880799293518,81.81109840935574,81.81109840935574
26,0.8707975427268224,0.8369592211791586,72.96383380889893,93.08962225914001,96.63522243499756,81.72189769182646,81.72189769182646
27,0.8135665390285787,0.8527417672478022,74.64622855186462,94.11949515342712,97.31131792068481,83.09794857323575,83.09794857323575
28,0.7715021625708132,0.8644141459295683,74.49685335159302,93.67924332618713,97.10691571235657,82.88778805718803,82.88778805718803
29,0.7724770042927416,0.8690085928574977,75.11005997657776,94.02515888214111,97.24056720733643,83.32063805306458,83.32063805306458
30,0.7151473841190883,0.8809417374459843,76.93396210670471,94.82704401016235,97.53930568695068,84.74738456041368,84.74738456041368
31,0.6852876899885787,0.8920304971936621,75.58962106704712,94.21383738517761,97.33490347862244,83.65499324156089,83.65499324156089
32,0.6588926440331416,0.8979908607758407,77.4371087551117,95.07075548171997,97.6572334766388,85.1024998164239,85.1024998164239
33,0.6467360305826396,0.9056399940396365,77.00471878051758,94.8427677154541,97.68868088722229,84.80736123250509,84.80736123250509
